Best Configuration,Previous Best Configuration
4,5
0,1
4,5
4,5
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
3,0
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
3,0
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
3,0
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
3,0
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
3,0
4,5
7,4
7,4
7,4
7,4
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
4,5
3,0
4,5
4,5
4,5
4,5
0,1
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
7,4
4,5
4,5
4,5
4,5
4,5
7,4
4,5
4,5
0,1
7,4
4,5
7,4
7,4
7,4
7,4
7,4
7,4
4,5
4,5
0,1
4,5
7,4
7,4
7,4
4,5
4,5
4,5
4,5
4,5
4,5
3,0
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
3,0
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
4,5
4,5
7,4
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
7,4
7,4
7,4
7,4
7,4
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
0,1
7,4
4,5
7,4
7,4
4,5
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
4,5
0,1
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
0,1
4,5
4,5
7,4
7,4
7,4
7,4
7,4
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
7,4
7,4
7,4
7,4
4,5
4,5
7,4
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
4,5
